id,equipment,gifUrl,name,target,bodyPart,calories 12 reps (cals)
214,barbell,http://d205bpvrqc9yn1.cloudfront.net/0104.gif,barbell standing back wrist curl,arms muscle,arms,5
215,barbell,http://d205bpvrqc9yn1.cloudfront.net/0126.gif,barbell wrist curl,arms muscle,arms,6
216,barbell,http://d205bpvrqc9yn1.cloudfront.net/0125.gif,barbell wrist curl v. 2,arms muscle,arms,5
217,barbell,http://d205bpvrqc9yn1.cloudfront.net/0455.gif,finger curls,arms muscle,arms,6
218,body weight,http://d205bpvrqc9yn1.cloudfront.net/1421.gif,modified push up to lower arms,arms muscle,arms,5
219,body weight,http://d205bpvrqc9yn1.cloudfront.net/0721.gif,side wrist pull stretch,arms muscle,arms,6
220,body weight,http://d205bpvrqc9yn1.cloudfront.net/1428.gif,wrist circles,arms muscle,arms,5
221,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1437.gif,dumbbell finger curls,arms muscle,arms,6
222,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0347.gif,dumbbell lying pronation,arms muscle,arms,5
223,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2705.gif,dumbbell lying pronation on floor,arms muscle,arms,6
224,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0349.gif,dumbbell lying supination,arms muscle,arms,5
225,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2706.gif,dumbbell lying supination on floor,arms muscle,arms,5
226,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0358.gif,dumbbell one arm revers wrist curl,arms muscle,arms,5
227,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1415.gif,dumbbell one arm seated neutral wrist curl,arms muscle,arms,6
228,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0364.gif,dumbbell one arm wrist curl,arms muscle,arms,5
229,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0385.gif,dumbbell reverse wrist curl,arms muscle,arms,5
230,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0399.gif,dumbbell seated one arm rotate,arms muscle,arms,5
231,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0401.gif,dumbbell seated palms up wrist curl,arms muscle,arms,5
232,barbell,http://d205bpvrqc9yn1.cloudfront.net/0029.gif,barbell clean-grip front squat,glutes,leg,6
233,barbell,http://d205bpvrqc9yn1.cloudfront.net/0032.gif,barbell deadlift,glutes,leg,6
234,barbell,http://d205bpvrqc9yn1.cloudfront.net/0039.gif,barbell front chest squat,glutes,leg,5
235,barbell,http://d205bpvrqc9yn1.cloudfront.net/0042.gif,barbell front squat,glutes,leg,5
236,barbell,http://d205bpvrqc9yn1.cloudfront.net/0043.gif,barbell full squat,glutes,leg,6
237,barbell,http://d205bpvrqc9yn1.cloudfront.net/1461.gif,barbell full squat (back pov),glutes,leg,5
238,barbell,http://d205bpvrqc9yn1.cloudfront.net/1545.gif,barbell full zercher squat,glutes,leg,6
239,barbell,http://d205bpvrqc9yn1.cloudfront.net/1409.gif,barbell glute bridge,glutes,leg,5
240,barbell,http://d205bpvrqc9yn1.cloudfront.net/0046.gif,barbell hack squat,glutes,leg,6
241,barbell,http://d205bpvrqc9yn1.cloudfront.net/0051.gif,barbell jefferson squat,glutes,leg,5
242,barbell,http://d205bpvrqc9yn1.cloudfront.net/0053.gif,barbell jump squat,glutes,leg,5
243,barbell,http://d205bpvrqc9yn1.cloudfront.net/1410.gif,barbell lateral lunge,glutes,leg,5
244,barbell,http://d205bpvrqc9yn1.cloudfront.net/1435.gif,barbell low bar squat,glutes,leg,5
245,barbell,http://d205bpvrqc9yn1.cloudfront.net/0054.gif,barbell lunge,glutes,leg,6
246,barbell,http://d205bpvrqc9yn1.cloudfront.net/0066.gif,barbell one arm side deadlift,glutes,leg,6
247,barbell,http://d205bpvrqc9yn1.cloudfront.net/0074.gif,barbell rack pull,glutes,leg,5
248,barbell,http://d205bpvrqc9yn1.cloudfront.net/0078.gif,barbell rear lunge,glutes,leg,6
249,barbell,http://d205bpvrqc9yn1.cloudfront.net/0077.gif,barbell rear lunge v. 2,glutes,leg,5
250,barbell,http://d205bpvrqc9yn1.cloudfront.net/0085.gif,barbell romanian deadlift,glutes,leg,6
251,barbell,http://d205bpvrqc9yn1.cloudfront.net/0090.gif,barbell seated good morning,glutes,leg,5
252,barbell,http://d205bpvrqc9yn1.cloudfront.net/1756.gif,barbell single leg deadlift,glutes,leg,6
253,barbell,http://d205bpvrqc9yn1.cloudfront.net/0101.gif,barbell speed squat,glutes,leg,5
254,barbell,http://d205bpvrqc9yn1.cloudfront.net/0115.gif,barbell stiff leg good morning,glutes,leg,6
255,barbell,http://d205bpvrqc9yn1.cloudfront.net/0117.gif,barbell sumo deadlift,glutes,leg,5
256,barbell,http://d205bpvrqc9yn1.cloudfront.net/0127.gif,barbell zercher squat,glutes,leg,6
257,barbell,http://d205bpvrqc9yn1.cloudfront.net/3194.gif,frankenstein squat,glutes,leg,5
258,barbell,http://d205bpvrqc9yn1.cloudfront.net/1420.gif,kneeling jump squat,glutes,leg,6
259,body weight,http://d205bpvrqc9yn1.cloudfront.net/3214.gif,arms apart circular toe touch (male),glutes,leg,5
260,body weight,http://d205bpvrqc9yn1.cloudfront.net/3212.gif,basic toe touch (male),glutes,leg,6
261,body weight,http://d205bpvrqc9yn1.cloudfront.net/3639.gif,bent knee lying twist (male),glutes,leg,5
262,body weight,http://d205bpvrqc9yn1.cloudfront.net/3543.gif,bodyweight drop jump squat,glutes,leg,6
263,body weight,http://d205bpvrqc9yn1.cloudfront.net/3769.gif,curtsey squat,glutes,leg,5
264,body weight,http://d205bpvrqc9yn1.cloudfront.net/3470.gif,forward lunge (male),glutes,leg,6
265,body weight,http://d205bpvrqc9yn1.cloudfront.net/3561.gif,glute bridge march,glutes,leg,6
266,body weight,http://d205bpvrqc9yn1.cloudfront.net/3218.gif,hands clasped circular toe touch (male),glutes,leg,5
267,body weight,http://d205bpvrqc9yn1.cloudfront.net/3215.gif,hands reversed clasped circular toe touch (male),glutes,leg,6
268,body weight,http://d205bpvrqc9yn1.cloudfront.net/1418.gif,hug keens to chest,glutes,leg,5
269,body weight,http://d205bpvrqc9yn1.cloudfront.net/1419.gif,iron cross stretch,glutes,leg,5
270,body weight,http://d205bpvrqc9yn1.cloudfront.net/0514.gif,jump squat,glutes,leg,7
271,body weight,http://d205bpvrqc9yn1.cloudfront.net/0513.gif,jump squat v. 2,glutes,leg,8
272,body weight,http://d205bpvrqc9yn1.cloudfront.net/3013.gif,low glute bridge on floor,glutes,leg,5
273,body weight,http://d205bpvrqc9yn1.cloudfront.net/3582.gif,lunge with jump,glutes,leg,7
274,body weight,http://d205bpvrqc9yn1.cloudfront.net/0624.gif,march sit (wall),glutes,leg,5
275,body weight,http://d205bpvrqc9yn1.cloudfront.net/0628.gif,monster walk,glutes,leg,6
276,body weight,http://d205bpvrqc9yn1.cloudfront.net/0642.gif,outside leg kick push-up,glutes,leg,7
277,body weight,http://d205bpvrqc9yn1.cloudfront.net/1422.gif,pelvic tilt into bridge,glutes,leg,5
278,body weight,http://d205bpvrqc9yn1.cloudfront.net/3662.gif,pike-to-cobra push-up,glutes,leg,6
279,body weight,http://d205bpvrqc9yn1.cloudfront.net/3132.gif,potty squat with support,glutes,leg,7
280,body weight,http://d205bpvrqc9yn1.cloudfront.net/0661.gif,push-up inside leg kick,glutes,leg,7
281,body weight,http://d205bpvrqc9yn1.cloudfront.net/0668.gif,rear decline bridge,glutes,leg,6
282,body weight,http://d205bpvrqc9yn1.cloudfront.net/2571.gif,rocking frog stretch,glutes,leg,5
283,body weight,http://d205bpvrqc9yn1.cloudfront.net/1424.gif,seated glute stretch,glutes,leg,6
284,body weight,http://d205bpvrqc9yn1.cloudfront.net/2567.gif,seated piriformis stretch,glutes,leg,7
285,body weight,http://d205bpvrqc9yn1.cloudfront.net/3645.gif,single leg bridge with outstretched leg,glutes,leg,6
286,body weight,http://d205bpvrqc9yn1.cloudfront.net/1759.gif,single leg squat (pistol) male,glutes,leg,6
287,body weight,http://d205bpvrqc9yn1.cloudfront.net/0778.gif,spider crawl push up,glutes,leg,8
288,body weight,http://d205bpvrqc9yn1.cloudfront.net/3433.gif,swimmer kicks v. 2 (male),glutes,leg,7
289,body weight,http://d205bpvrqc9yn1.cloudfront.net/1466.gif,twist hip lift,glutes,leg,6
290,body weight,http://d205bpvrqc9yn1.cloudfront.net/1460.gif,walking lunge,glutes,leg,5
291,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0291.gif,dumbbell bench squat,glutes,leg,6
292,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0295.gif,dumbbell clean,glutes,leg,5
293,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/3635.gif,dumbbell contralateral forward lunge,glutes,leg,6
294,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0300.gif,dumbbell deadlift,glutes,leg,5
